,Alletra Diamond Grand Hotel,ProLiant Towers,Aruba Luxury Lodge,InfoSight Boutique Hotel,Primera Grand,dHCI Executive Boutique Hotel,ProLiant Haven,Apollo Executive Beach Resort,Aruba Lodge,Alletra Haven,dHCI Platinum Beach Resort,GreenLake Platinum Heritage Inn,Pointnext Signature Residences & Suites,ProLiant Place,Synergy Golden Grand Hotel,Alletra Resort,GreenLake Digital Business Suites,Apollo Resort & Spa,Nimble Inn,Ezmeral Grand Hotel,Alletra Boutique Hotel,Simplivity Golden Plaza Hotel,Cray Villas,Apollo Diamond Suites,Apollo Towers
2025-01-01,44.50332026188387,42.696446477717906,43.98133222224773,44.94512107766488,44.593337669133234,44.99430487335282,43.316991927694104,45.556705697886684,46.40979195910039,44.23243126410072,45.58824024523269,43.34500102838824,43.2802413033418,46.975983002355974,45.18158506434652,43.90367049757937,44.6270108243285,43.30013896901655,47.941331288783715,44.61279124334716,48.75569925322937,43.38165529781576,45.06596189538135,45.20507326291434,45.908936660711774
2025-01-02,43.29713089807159,43.08084228755494,45.3453580417192,43.93219369574413,45.53518946082568,44.77935744175786,43.22122058137258,45.1054794381448,47.94646611731565,46.230378989869706,45.90554221597419,44.08095905855127,43.607148600764745,47.325440996696514,46.47379697800159,44.40341083618573,45.36738859027207,43.57851649924329,46.86846168199606,43.63942193904845,49.22332506782537,44.47944536294145,46.26941054840621,45.72060870377659,46.25021929281445
2025-01-03,42.575059635958624,42.49799319918045,45.40893084518563,44.18673532479423,46.82600473937434,44.95043678119896,42.74713701553663,44.66621349128448,46.42282772199583,45.86483453124391,46.50209530691718,43.19251540957916,43.61126865032954,46.846141398860276,47.09996162334987,45.06687362952806,44.17933859516242,44.476871704327934,46.01448498596339,43.87111993747803,47.569302280678166,44.21420941619379,44.82443898616344,45.433866709991264,44.65834297905783
2025-01-04,51.04060691365196,53.60838784676575,54.52432427338836,55.33667513339621,54.69300549893691,56.68468346827475,52.18840074517152,54.25555317835314,57.074628728897366,57.0152636677184,55.164786576965966,55.48331800347764,54.51109401479583,56.67145445447116,57.4568183078766,54.75168433235594,55.01019638496071,54.33328887957031,54.129797780821214,52.906816331658156,56.39923205974473,55.21390650575756,54.80412568039367,54.151330959881385,53.469940899271705
2025-01-05,52.30719161280447,53.076665804840715,53.85052598523286,55.992593261018214,52.93413392495586,56.74792266427705,54.2146855783125,55.2683873342706,56.80609091760568,56.57178852215533,55.60461914073412,54.025882506958524,54.38219651330556,56.099620503377444,56.03785950814358,56.992363645827,54.05277935044118,54.753438509219244,54.13954202648504,53.60765446400485,58.3136325063014,54.655600212270414,53.739457679421704,53.41911351002883,54.70423286999787
2025-01-06,44.92074643718355,45.285831120853025,43.91449629835985,45.48900813036188,42.01671252289516,48.25572307688591,43.91180331661797,44.84752284655699,46.314859397568114,44.99704955633244,44.37889627850376,44.22075232280431,44.41975400043887,47.27892607572481,45.55217319033768,45.256678626202635,44.485309716280256,46.53010167054967,44.4507636786573,45.176902367534254,48.673649291719656,43.12325168078986,46.02805869533272,42.93521040151758,47.285115766175124
2025-01-07,45.42252752334572,43.80326440222543,44.815031833055805,47.5750361133735,43.09666057911811,48.8400799819019,45.79847359503674,44.46579994033027,45.351223075424684,44.759936326169125,45.058999850229114,43.70299122028317,44.762784237854774,45.926259191188784,43.90235876312097,45.255711222172785,46.347163805217996,46.80977343146638,45.87085097329815,45.48187913793673,49.03281437083542,43.899185311474454,46.7323557612128,42.81774440030094,48.10340223286731
2025-01-08,45.312427227794814,42.59067930087264,43.20209509010247,47.54501342818666,44.4261187193009,47.97767042667931,44.95470602992165,44.35724565487848,44.77524679128282,42.97175183476435,44.81603887778569,42.827040889544406,45.061878840177926,46.65163147070083,44.96261933506821,45.14981989563515,44.862679452241736,44.81656103600223,47.291645532878206,46.429560561833625,48.81422847727824,44.38372001409847,46.66400355690757,43.75009101609805,47.35411817636466
2025-01-09,44.22302367197227,43.11193266446992,43.611731255606884,46.78421074073846,44.45283259739696,46.96279432565719,44.833650188776,44.31850238166996,46.22053401342839,44.84978525853222,44.00811876365163,44.35209985818534,45.47174341084404,46.67131557570086,46.78514270037905,46.24812047388865,45.281318220392166,45.34319989691694,47.260717039633064,45.71231760621009,49.23799279138326,45.04086258724088,47.81320133131965,44.75709208199999,47.728371684294245
2025-01-10,43.83378316064304,42.70663108847922,43.46381792102319,47.062519782215794,45.38616709731552,46.294861312369136,44.31787584605166,45.00705209611955,44.65771041621123,44.64173761454893,44.08656716314603,44.54996222194872,45.51649935460563,46.587217508544995,47.66027368299399,46.98170417683602,44.262702509207635,45.90630081672275,47.87003985680609,45.97562436421934,47.91139130020461,44.558050879951836,46.85012424903546,44.97283721107156,46.473098704776376
